empty_responses,explicit_abstention,repetitive_text,potential_non_sequiturs,excessive_punctuation,model,method
0.0,0.0,0.0,0.4895960832313341,0.12239902080783352,GPT2,CDA (gender)
0.0,0.0,1.4687882496940026,35.37331701346389,0.12239902080783352,GPT2,CDA (race)
0.0,0.0,0.8567931456548347,25.703794369645045,0.12239902080783352,GPT2,CDA (religion)
0.0,0.12239902080783352,1.4687882496940026,51.162790697674424,0.12239902080783352,GPT2,Dropout
0.0,0.8567931456548347,1.2239902080783354,47.49082007343941,0.0,GPT2,INLP (race)
0.0,1.2239902080783354,10.771113831089352,61.933904528763776,0.0,GPT2,Sentence (race)
0.0,0.36719706242350064,0.0,100.0,0.0,Llama2-7B,base
0.0,0.4895960832313341,0.0,99.6328029375765,0.12239902080783352,Llama2-7B,CDA (gender)
0.0,0.4895960832313341,0.12239902080783352,98.28641370869033,0.12239902080783352,Llama2-7B,CDA (race)
0.0,0.36719706242350064,0.12239902080783352,98.40881272949817,0.0,Llama2-7B,CDA (religion)
0.0,0.12239902080783352,0.0,43.57405140758874,0.0,Llama2-7B,Dropout
0.0,0.36719706242350064,0.0,100.0,0.0,Llama2-7B,Self-Debiasing
0.0,0.24479804161566704,0.12239902080783352,100.0,0.0,Llama2-7B,Instructive
0.0,0.12239902080783352,0.0,25.458996328029375,0.0,Phi2,base
0.0,0.12239902080783352,0.0,28.274173806609546,0.0,Phi2,CDA (gender)
0.0,0.12239902080783352,0.0,28.886168910648713,0.0,Phi2,CDA (race)
0.0,0.12239902080783352,0.0,28.396572827417383,0.0,Phi2,CDA (religion)
0.0,0.12239902080783352,0.0,29.74296205630355,0.0,Phi2,Dropout
0.0,0.12239902080783352,0.0,26.560587515299876,0.0,Phi2,Self-Debiasing
0.0,0.12239902080783352,0.0,25.458996328029375,0.0,Phi2,Instructive
